NEST,CODE,LONG,LAT,ALT,FECHA,PP
140.0,ID4725B27A,-73.63833000000002,-14.04361,3106.0,2017-03-21T18:00:00,0.0
143.0,ID4729131E,-75.25,-13.833329999999998,3240.0,2017-03-21T18:00:00,0.0
144.0,ID47E26242,-72.00886,-16.58989,994.0,2017-03-21T18:00:00,0.0
145.0,ID4723D752,-71.60169,-15.64163,3644.0,2017-03-21T18:00:00,0.2
146.0,ID47E8A60E,-71.38955,-15.21331,4240.0,2017-03-21T18:00:00,6.8
147.0,ID47280292,-72.89331,-15.21134,2683.0,2017-03-21T18:00:00,0.4
148.0,ID47E3903C,-70.911,-15.76448,4511.0,2017-03-21T18:00:00,3.2
149.0,ID4729E39A,-72.15266,-16.33565,1498.0,2017-03-21T18:00:00,0.0
150.0,ID47E3A5A6,-71.88108000000003,-16.03458,3065.0,2017-03-21T18:00:00,0.0
151.0,ID47E3834A,-71.09062,-15.84266,4475.0,2017-03-21T18:00:00,0.0
152.0,ID472A8172,-71.65124,-15.18255,4258.0,2017-03-21T18:00:00,1.8
153.0,ID472D23BE,-73.1145,-16.427,23.0,2017-03-21T18:00:00,0.0
154.0,ID47E360B8,-71.41481,-16.05542,4035.0,2017-03-21T18:00:00,0.0
155.0,ID47E373CE,-71.21333,-15.97861,4455.0,2017-03-21T18:00:00,0.0
156.0,ID47E3B6D0,-71.32836,-16.58103,3269.0,2017-03-21T18:00:00,0.2
157.0,ID47E27134,-71.72055999999998,-16.259439999999998,2325.0,2017-03-21T18:00:00,0.0
159.0,ID472EE1AE,-71.57431,-16.45992,2196.0,2017-03-21T18:00:00,0.0
161.0,ID47E2B42A,-69.62671999999999,-17.57994,4258.0,2017-03-21T18:00:00,0.0
162.0,ID47E2C2BA,-70.25519,-17.26708,3476.0,2017-03-21T18:00:00,0.0
163.0,ID47E143A0,-69.91656,-17.69071,3561.0,2017-03-21T18:00:00,0.0
164.0,ID47E13530,-70.15224,-17.96844,885.0,2017-03-21T18:00:00,0.0
165.0,ID47E195C8,-70.09888000000001,-17.8151,1482.0,2017-03-21T18:00:00,0.0
166.0,ID47E292C6,-69.66186,-17.30847,4204.0,2017-03-21T18:00:00,0.5
167.0,ID47E1654C,-70.28831,-17.11413,4146.0,2017-03-21T18:00:00,0.0
168.0,ID47E1A052,-70.45456,-17.63312,834.0,2017-03-21T18:00:00,0.0
169.0,ID47E12646,-70.30828000000001,-17.370720000000002,2788.0,2017-03-21T18:00:00,0.0
172.0,ID4723F1BE,-70.93167,-17.16917,1450.0,2017-03-21T18:00:00,0.0
173.0,ID47E150D6,-70.17213000000001,-17.47491,2177.0,2017-03-21T18:00:00,0.0
174.0,ID47E186BE,-70.76097,-17.61756,574.0,2017-03-21T18:00:00,0.0
175.0,ID47E1B324,-69.94863000000001,-17.3692,4548.0,2017-03-21T18:00:00,0.0
176.0,ID47E113DC,-69.76485,-17.53886,4587.0,2017-03-21T18:00:00,0.0
177.0,ID47E1763A,-70.00949,-17.23771,4356.0,2017-03-21T18:00:00,0.0
178.0,ID47E2D1CC,-70.03641,-17.4791,3042.0,2017-03-21T18:00:00,0.0
179.0,ID47E2A75C,-70.04305,-17.0788,4465.0,2017-03-21T18:00:00,0.0
180.0,ID4727547C,-70.51205999999998,-3.91125,107.0,2017-03-21T18:00:00,0.0
182.0,ID47252718,-73.23694,-3.72722,126.0,2017-03-21T18:00:00,0.0
183.0,ID47288486,-71.85755999999998,-3.3145300000000004,106.0,2017-03-21T18:00:00,0.0
184.0,ID4724E0FC,-73.83612,-5.043080000000002,109.0,2017-03-21T18:00:00,0.0
185.0,ID47271776,-73.67925,-2.4875700000000003,150.0,2017-03-21T18:00:00,0.0
187.0,ID4723013A,-76.31834,-6.5892300000000015,225.0,2017-03-21T18:00:00,0.0
188.0,ID212600,-76.73694,-7.268610000000002,280.0,2017-03-21T18:00:00,0.0
189.0,ID4724851A,-77.39328,-5.80997,882.0,2017-03-21T18:00:00,0.0
190.0,ID47E2E456,-76.50556,-8.18111,446.0,2017-03-21T18:00:00,0.0
193.0,ID472D0552,-75.9425,-9.515,744.0,2017-03-21T18:00:00,0.0
194.0,ID472DA5AA,-76.02778,-9.32,663.0,2017-03-21T18:00:00,0.0
195.0,ID47E87066,-70.75028,-9.75028,275.0,2017-03-21T18:00:00,0.0
196.0,ID4727A4F8,-74.96083,-9.38139,253.0,2017-03-21T18:00:00,0.0
199.0,ID472B730C,-76.15111,-9.84694,408.0,2017-03-21T18:00:00,0.0
201.0,ID472722EC,-75.01236999999998,-12.77163,3715.0,2017-03-21T18:00:00,0.0
202.0,ID472DF5D6,-75.06166999999998,-11.92667,4684.0,2017-03-21T18:00:00,0.5
205.0,ID4729D600,-74.19889,-13.56184,3315.0,2017-03-21T18:00:00,0.0
206.0,ID47257764,-75.69028,-11.39694,3200.0,2017-03-21T18:00:00,0.0
207.0,ID47263360,-72.85694000000002,-13.604920000000002,2795.0,2017-03-21T18:00:00,0.0
208.0,ID4722A338,-71.61941,-13.19672,3466.0,2017-03-21T18:00:00,0.0
209.0,ID472B059C,-72.85628,-14.38483,3845.0,2017-03-21T18:00:00,0.0
210.0,ID472976F8,-72.95524,-13.333329999999998,2924.0,2017-03-21T18:00:00,0.0
211.0,ID472A1410,-72.29831999999998,-13.98923,4050.0,2017-03-21T18:00:00,0.0
212.0,ID472B16EA,-72.57275,-14.65289,4672.0,2017-03-21T18:00:00,0.0
213.0,ID4727C11E,-72.44881,-13.26581,3020.0,2017-03-21T18:00:00,0.0
214.0,ID472935F2,-72.56342,-13.174079999999998,1778.0,2017-03-21T18:00:00,0.0
215.0,ID472852EE,-72.5605,-13.22431,1780.0,2017-03-21T18:00:00,0.0
219.0,ID4722B04E,-70.89653,-13.50411,1758.0,2017-03-21T18:00:00,0.0
220.0,ID472A6280,-71.84111,-13.4275,2971.0,2017-03-21T18:00:00,0.0
221.0,ID4729950A,-72.49847,-13.23425,3606.0,2017-03-21T18:00:00,0.0
222.0,ID472AF7E2,-72.10047,-13.95139,2701.0,2017-03-21T18:00:00,0.0
223.0,ID4729867C,-72.43383,-13.22419,1580.0,2017-03-21T18:00:00,0.0
224.0,ID4729B3E6,-72.69171999999998,-12.85644,1011.0,2017-03-21T18:00:00,0.0
225.0,ID114118,-71.23186,-14.16994,3913.0,2017-03-21T18:00:00,0.2
226.0,ID4729658E,-72.61992,-13.02506,1237.0,2017-03-21T18:00:00,0.2
227.0,ID472AE494,-73.17481,-13.991829999999998,2263.0,2017-03-21T18:00:00,
228.0,ID4727D268,-72.5925,-13.13194,1520.0,2017-03-21T18:00:00,0.0
229.0,ID4729A090,-72.1,-14.45,3658.0,2017-03-21T18:00:00,0.0
230.0,ID4726158C,-71.23669,-14.23736,3568.0,2017-03-21T18:00:00,0.0
231.0,ID47294362,-72.57419,-13.39471,3865.0,2017-03-21T18:00:00,0.0
232.0,ID4727B78E,-70.59314,-14.87183,3928.0,2017-03-21T18:00:00,0.0
234.0,ID472CF72C,-70.17121999999999,-15.47106,3826.0,2017-03-21T18:00:00,0.0
235.0,ID472E8448,-70.6775,-15.74562,4177.0,2017-03-21T18:00:00,0.5
236.0,ID472CB426,-70.04589,-16.135920000000002,3928.0,2017-03-21T18:00:00,0.0
237.0,ID472E37C6,-70.59315,-15.235870000000002,4073.0,2017-03-21T18:00:00,0.0
238.0,ID472DE6A0,-70.67578,-15.48528,4400.0,2017-03-21T18:00:00,0.0
239.0,ID47251282,-69.87380999999999,-15.25544,3812.0,2017-03-21T18:00:00,0.0
240.0,ID472DD33A,-70.01208000000001,-15.82625,3812.0,2017-03-21T18:00:00,0.0
